Designator,Footprint,Quantity,Value with Neutrik,Value without Neutrik,Man. Pr. Nr.,
Capacitors,,,,,,
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,Do not place,47p,,
"C10, C14, C2, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,4,47p,47p,,
C11,CAP FILM P5.00mm,1,15n,15n,,
"C12, C4, C5",CAP FILM P5.00mm,3,10n,10n,,
"C13, C3, C7, C9",CP_Radial_D5.0mm_P2.00mm,4,100uf/10V,100uf/10V,,
"C15, C16, C17, C18",C_Disc_D5.0mm_W2.5mm_P5.00mm,4,22p,22p,,
"C19, C20",CP_Radial_D5.0mm_P2.00mm,2,10uf/25V,10uf/25V,,
"C21, C22, C23, C24, C25, C26",C_Disc_D5.0mm_W2.5mm_P5.00mm,6,100n,100n,,
C27,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,150p,Do not place,,
C6,CAP FILM P5.00mm,1,220n,220n,,
Transformer,,,,,,
TR1,NTL1,1,NTL1,"Do not place and
Bridge JP2 and JP3",,
ICs,,,,,,
DOA1,DOA_2520 - Don't place U2 if used,1,DOA1,DOA1,,
DOA2,DOA_2520 - Don't place U3 if used,1,DOA2,DOA2,,
"U1, U4",DIP-8_W7.62mm,4,NE5534,NE5534,,
"U2, U3 ",Place if DOA not used,4,NE5534,NE5534,,
Resistors,,,,,,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,Do not place,20K,,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,WIRE,20K,,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1K,10K,,
"R10, R11, R16, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,4,10K,10K,,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,5K6,10K,,
"R12, R14",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K8,1K8,,
"R13, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,680K,680K,,
"R18, R19",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,22R,22R,,
"R20, R21",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10R,10R,,
"R22, R23",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,1K6,10R,,
R24,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,WIRE,Do not place,,
R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,15K,Do not place,,
"R26, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,3K3,3K3,,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,560R,560R,,
"R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,220K,220K,,
Others,,,,,,
S1,4PDT F4UEE  to use LED / DPDT F2UEE no LED,1,4PDT/DPDT,4PDT/DPDT,MPBS-42H01L-F14,
D1,805 Choose between D1 and D2 and jump JP1 accordingly,1,LED,LED,,
D2,LED_D3.0mm,1,LED,LED,,
U5,SLP3250100F - Led pipe,1,LED Pipe,LED Pipe,SLP3-250-100-F,
VR1,PC2G16BU,1,2x22KLin,2x22KLin,OM-01-023,"available at
audiomaintenance.com"
"VR2, VR3",PC2G16BU 16mm dual gang pots,2,2x10KLin,2x10KLin,OM-01-005,
VR4,PC2G16BU 16mm dual gang pots,1,2x100KRLog,2x100KRLog,OM-01-059,
DOA Pin Receptacles,Mill-Max 0322,12,,,"0322-0-15-01-34-27-10-0
For gold ones:
0322-0-15-15-34-27-10-0",
